model,feature_set,split,pos_label,pos_label_meaning,n_features,n_train,n_test,accuracy,precision,recall,f1,roc_auc,seed,timestamp_utc,elapsed_seconds,confusion_matrix.tn,confusion_matrix.fp,confusion_matrix.fn,confusion_matrix.tp,cv_f1_mean,cv_f1_sd
baseline_majority,full,stratified,0,phishing,50,176527,58843,0.5729313597199327,0.0,0.0,0.0,0.5,42,2026-09-20T02:04:58.198428+00:00,0.09142460001748987,0,25130,0,33713,,
logistic_regression,full,stratified,0,phishing,50,176527,58843,0.9999320225005524,1.0,0.9998408276959809,0.9999204075135307,0.9999999834751265,42,2026-09-20T02:04:59.458242+00:00,4.105185399996117,25126,4,0,33713,0.9998341658205767,5.24493728432996e-05
decision_tree,full,stratified,0,phishing,50,176527,58843,1.0,1.0,1.0,1.0,1.0,42,2026-09-20T02:05:03.432424+00:00,2.2273368000169285,25130,0,0,33713,0.9999933676007295,1.4830495622610976e-05
random_forest,full,stratified,0,phishing,50,176527,58843,1.0,1.0,1.0,1.0,1.0,42,2026-09-20T02:05:30.862115+00:00,123.6859416999796,25130,0,0,33713,0.9999933676007295,1.4830495622610976e-05
baseline_majority,no_derived,stratified,0,phishing,44,176527,58843,0.5729313597199327,0.0,0.0,0.0,0.5,42,2026-09-20T02:07:10.052175+00:00,0.26738959999056533,0,25130,0,33713,,
logistic_regression,no_derived,stratified,0,phishing,44,176527,58843,0.9992522475060754,0.9995221027479092,0.9987266215678472,0.999124203821656,0.9999944759708213,42,2026-09-20T02:07:13.973816+00:00,8.987443299993174,25098,32,12,33701,0.9991441789083334,0.00019401624829498752
decision_tree,no_derived,stratified,0,phishing,44,176527,58843,0.9989973318831467,0.9983699757484197,0.9992837246319141,0.9988266412107472,0.9990337882792353,42,2026-09-20T02:07:25.525263+00:00,11.128751099982765,25112,18,41,33672,0.9987332891059433,0.00021277277554713963
random_forest,no_derived,stratified,0,phishing,44,176527,58843,0.9998640450011046,0.9999204011780626,0.9997612415439714,0.9998408150270615,0.9999997361921964,42,2026-09-20T02:08:28.301877+00:00,170.31333819997963,25124,6,2,33711,0.9998341886971625,8.122750477891305e-05
baseline_majority,url_only,stratified,0,phishing,18,176527,58843,0.5729313597199327,0.0,0.0,0.0,0.5,42,2026-09-20T02:10:21.634618+00:00,0.17509879998397082,0,25130,0,33713,,
logistic_regression,url_only,stratified,0,phishing,18,176527,58843,0.9958873612834152,0.9995985225630319,0.9907680063668921,0.9951636756065391,0.9981347365956983,42,2026-09-20T02:10:23.697683+00:00,5.7552544999925885,24898,232,10,33703,0.9954445163103063,0.00033921078028188
decision_tree,url_only,stratified,0,phishing,18,176527,58843,0.997212922522645,0.9991602687140115,0.9943095901313171,0.9967290278830429,0.996726974940466,42,2026-09-20T02:10:28.607957+00:00,2.3812932000146247,24987,143,21,33692,0.996577632913166,0.0003205799164024581
random_forest,url_only,stratified,0,phishing,18,176527,58843,0.9972809000220927,0.9992003198720512,0.9944289693593314,0.9968089349820503,0.9981120089927417,42,2026-09-20T02:10:53.577582+00:00,110.78802899998846,24990,140,20,33693,0.996776669559552,0.00018329550946142182
